run_name,success,exit_code,wall_time_s,error,final_time,n_steps,growth_dt,growth_n_steps,treated_dt
r0015_AB-diffusivity_ratio,True,0,18.496,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-rt_alpha,True,0,12.706,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-rt_alpha_beta_ratio,True,0,13.189,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-seed_sigma_mm,True,0,13.922,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_B,True,0,14.309,,238.84384269736702,2868,0.08327888518039296,1427,0.08327888518039296
r0015_AB-gaussian_seed_x_fraction,True,0,18.31,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-seed_peak_density,True,0,18.972,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-gaussian_seed_y_fraction,True,0,18.57,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-gaussian_seed_z_fraction,True,0,18.029,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0016_AB-resection_time,True,0,15.193,,218.6939828459652,2625,0.08331199346512959,1184,0.0833119934651296
r0016_A,True,0,19.175,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-front_speed_mm_per_day,True,0,19.202,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-front_width_mm,True,0,19.208,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-diffusivity_ratio,True,0,18.044,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-rt_alpha_beta_ratio,True,0,13.687,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-rt_alpha,True,0,17.16,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-chemo_kill_rate,True,0,20.147,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-seed_peak_density,True,0,14.789,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_AB-gaussian_seed_x_fraction,True,0,15.348,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0016_B,True,0,13.387,,218.6939828459652,2625,0.08331199346512959,1184,0.0833119934651296
r0016_AB-gaussian_seed_y_fraction,True,0,15.986,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
r0017_AB-front_speed_mm_per_day,True,0,12.939,,163.05505621855866,1959,0.08323382144898349,517,0.08323382144898349
r0016_AB-gaussian_seed_z_fraction,True,0,15.459,,236.09972050571272,2834,0.08330971083476102,1393,0.08330971083476102
