patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p03,young_weak,scaled_dt,e,day,pre,0.04476129082999458,282.6745720645085,467626
p03,young_weak,scaled_dt,e,day,d80,0.05237129553032941,112.36344215661606,467626
p03,young_weak,scaled_dt,e,day,d120,0.07647556275105004,143.8755144070957,467626
p03,young_weak,scaled_dt,f,region,core,0.08191825351242628,111.26191309828445,2178
p03,young_weak,scaled_dt,f,region,rim,0.0469821550351385,238.4414596858273,7592
p03,young_weak,scaled_dt,f,region,out_of_field,0.23440968809232035,0.000674215138966551,1938520
p03,young_weak,scaled_dt,f,day,pre,0.06011459034855586,282.6745720645085,467626
p03,young_weak,scaled_dt,f,day,d34,0.03732323917958456,172.5997279349335,467626
p03,young_weak,scaled_dt,f,day,d55,0.09223352665622923,33.139492975046274,467626
p03,young_weak,scaled_dt,f,day,d80,0.05308209580381383,112.36344215661606,467626
p03,young_weak,scaled_dt,f,day,d120,0.05297973788103632,143.8755144070957,467626
p03,young_weak,fixed_dt,a,region,core,0.0011652951864568445,111.22436164788253,2178
p03,young_weak,fixed_dt,a,region,rim,0.0022424269794312657,197.2788484581242,5260
p03,young_weak,fixed_dt,a,region,out_of_field,0.0005420898082342642,0.0001314242541888331,387704
p03,young_weak,fixed_dt,a,day,pre,0.0017658935125991137,283.12241621354696,467626
p03,young_weak,fixed_dt,b,region,core,0.03256560115890069,111.22436164788253,2178
p03,young_weak,fixed_dt,b,region,rim,0.03004296389504061,210.1578495695794,5664
p03,young_weak,fixed_dt,b,region,out_of_field,1.7721253503412915,0.0005128936543354462,775408
p03,young_weak,fixed_dt,b,day,pre,0.02443080190344849,283.12241621354696,467626
p03,young_weak,fixed_dt,b,day,d120,0.06535653966576872,143.83801636721324,467626
p03,young_weak,fixed_dt,c,region,core,0.0560224189648146,111.22436164788253,2178
p03,young_weak,fixed_dt,c,region,rim,0.0351440845965626,210.1578495695794,5664
p03,young_weak,fixed_dt,c,region,out_of_field,0.3490148476032532,0.0005562915754682997,1163112
p03,young_weak,fixed_dt,c,day,pre,0.041085224290013246,283.12241621354696,467626
p03,young_weak,fixed_dt,c,day,d55,0.04518736967512568,32.89799624425957,467626
p03,young_weak,fixed_dt,c,day,d120,0.085284821541607,143.83801636721324,467626
p03,young_weak,fixed_dt,d,region,core,0.06371986040211974,111.22436164788253,2178
p03,young_weak,fixed_dt,d,region,rim,0.03652088501113437,238.74755824461215,7592
p03,young_weak,fixed_dt,d,region,out_of_field,0.2769306768867373,0.0005947074525591989,1550816
p03,young_weak,fixed_dt,d,day,pre,0.04597691111951648,283.12241621354696,467626
p03,young_weak,fixed_dt,d,day,d34,0.0287270940438317,172.72733589900398,467626
p03,young_weak,fixed_dt,d,day,d55,0.0360043378504122,32.89799624425957,467626
p03,young_weak,fixed_dt,d,day,d120,0.07698280208007591,143.83801636721324,467626
p03,young_weak,fixed_dt,e,region,core,0.061052531215013646,111.22436164788253,2178
p03,young_weak,fixed_dt,e,region,rim,0.03799647641000462,210.1578495695794,5664
